"Time","PDU #1","PDU #2","RACK"
2021-06-23 19:00:00,0.86,0.77,1.63
2021-06-23 19:30:00,0.86,0.77,1.63
2021-06-23 20:00:00,0.86,0.77,1.63
2021-06-23 20:30:00,1.06,0.86,1.92
2021-06-23 21:00:00,0.86,0.79,1.65
2021-06-23 21:30:00,0.86,0.79,1.65
2021-06-23 22:00:00,0.88,0.79,1.67
2021-06-23 22:30:00,0.97,0.79,1.76
2021-06-23 23:00:00,0.97,0.79,1.76
2021-06-23 23:30:00,0.99,0.84,1.83
2021-06-24 00:00:00,0.95,0.79,1.74
2021-06-24 00:30:00,0.99,0.79,1.78
2021-06-24 01:00:00,0.97,0.79,1.76
2021-06-24 01:30:00,0.99,0.84,1.83
2021-06-24 02:00:00,0.99,0.79,1.78
2021-06-24 02:30:00,1.02,0.79,1.81
2021-06-24 03:00:00,0.97,0.82,1.79
2021-06-24 03:30:00,0.93,0.88,1.81
2021-06-24 04:00:00,0.97,0.79,1.76
2021-06-24 04:30:00,0.99,0.82,1.81
2021-06-24 05:00:00,0.97,0.79,1.76
2021-06-24 05:30:00,0.97,0.79,1.76
2021-06-24 06:00:00,1.02,0.79,1.81
2021-06-24 06:30:00,1,0.79,1.79
2021-06-24 07:00:00,0.97,0.82,1.79
2021-06-24 07:30:00,0.99,0.79,1.78
2021-06-24 08:00:00,0.97,0.79,1.76
2021-06-24 08:30:00,0.99,0.82,1.81
2021-06-24 09:00:00,0.93,0.86,1.79
2021-06-24 09:30:00,0.99,0.79,1.78
2021-06-24 10:00:00,0.95,0.84,1.79
2021-06-24 10:30:00,1.02,0.79,1.81
2021-06-24 11:00:00,0.99,0.82,1.81
2021-06-24 11:30:00,0.97,0.81,1.78
2021-06-24 12:00:00,1.62,1.45,3.07
2021-06-24 12:30:00,1.63,1.45,3.08
2021-06-24 13:00:00,1.62,1.42,3.04
2021-06-24 13:30:00,1.81,1.67,3.48
2021-06-24 14:00:00,1.76,1.67,3.43
2021-06-24 14:30:00,1.86,1.71,3.57
2021-06-24 15:00:00,1.79,1.69,3.48
