"Time","GPU 2","GPU 5","GPU 4","GPU 3","GPU 0","GPU 7","GPU 1","GPU 6"
2021-06-23 19:00:00,0,0,0,0,0,0,0,0
2021-06-23 19:30:00,0,0,0,0,0,0,0,0
2021-06-23 20:00:00,0,0,0,0,0,0,0,0
2021-06-23 20:30:00,,,,,,,,
2021-06-23 21:00:00,0,0,0,0,0,0,0,0
2021-06-23 21:30:00,0,0,0,0,0,0,0,0
2021-06-23 22:00:00,0,0,0,0,0,0,0,0
2021-06-23 22:30:00,,,,,,,,
2021-06-23 23:00:00,0,0,0,0,0,0,0,0
2021-06-23 23:30:00,0,0,0,0,0,0,0,0
2021-06-24 00:00:00,0,0,0,0,0,0,0,0
2021-06-24 00:30:00,0,0,0,0,0,0,0,0
2021-06-24 01:00:00,0,0,0,0,0,0,0,0
2021-06-24 01:30:00,0,0,0,0,0,0,0,0
2021-06-24 02:00:00,0,0,0,0,0,0,0,0
2021-06-24 02:30:00,0,0,0,0,0,0,0,0
2021-06-24 03:00:00,0,0,0,0,0,0,0,0
2021-06-24 03:30:00,0,0,0,0,0,0,0,0
2021-06-24 04:00:00,0,0,0,0,0,0,0,0
2021-06-24 04:30:00,0,0,0,0,0,0,0,0
2021-06-24 05:00:00,0,0,0,0,0,0,0,0
2021-06-24 05:30:00,0,0,0,0,0,0,0,0
2021-06-24 06:00:00,0,0,0,0,0,0,0,0
2021-06-24 06:30:00,0,0,0,0,0,0,0,0
2021-06-24 07:00:00,0,0,0,0,0,0,0,0
2021-06-24 07:30:00,0,0,0,0,0,0,0,0
2021-06-24 08:00:00,0,0,0,0,0,0,0,0
2021-06-24 08:30:00,0,0,0,0,0,0,0,0
2021-06-24 09:00:00,0,0,0,0,0,0,0,0
2021-06-24 09:30:00,0,0,0,0,0,0,0,0
2021-06-24 10:00:00,0,0,0,0,0,0,0,0
2021-06-24 10:30:00,0,0,0,0,0,0,0,0
2021-06-24 11:00:00,0,0,0,0,0,0,0,0
2021-06-24 11:30:00,0,0,0,0,0,0,0,0
2021-06-24 12:00:00,100,0,97,84,89,0,0,99
2021-06-24 12:30:00,65,0,96,81,100,0,0,100
